label,clean_bibtex,type,title,author,year,journal_type,,conferences type,location,page,url,filename
error_comparison_optimization_for_large_language_models_on_aspect_based_sentiment_analysis,wang-etal-2025-error,inproceedings,Error Comparison Optimization for Large Language Models on Aspect-Based Sentiment Analysis,"Wang, Qianlongand Ding, Keyang and Gao, Hengxin and Wang, Hui and Xu, Ruifeng",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",18630--18646,https://aclanthology.org/2025.acl-long.913/,2025.acl-long.bib
dual_path_counterfactual_integration_multimodal,liu-etal-2025-dual-path,inproceedings,Dual-Path Counterfactual Integration for Multimodal Aspect-Based Sentiment Classification,"Liu, Rui and Cao, Jiahao and Ren, Jiaqian and Bai, Xu and Cao, Yanan",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",22748--22758,https://aclanthology.org/2025.emnlp-main.1158/,2025.emnlp-main.bib
direct_value_optimization_improving_chain_of_thought_reasoning_in_llms_with_refined_values,zhang-etal-2025-direct-value,inproceedings,Direct Value Optimization: Improving Chain-of-Thought Reasoning in {LLM}s with Refined Values,"Zhang, Hongboand Cui, Han and Bao, Guangshengand Yang, Linyiand Wang, Junand Zhang, Yue",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",13203--13216,https://aclanthology.org/2025.emnlp-main.668/,2025.emnlp-main.bib
diagnosing_memorization_in_chain_of_thought_reasoning_one_token_at_a_time,li-etal-2025-diagnosing,inproceedings,"Diagnosing Memorization in Chain-of-Thought Reasoning, One Token at a Time","Li, Huihan and Chen, You and Wang, Siyuanand He, Yixinand Mehrabi, Ninareh and Gupta, Rahul and Ren, Xiang",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",3158--3180,https://aclanthology.org/2025.emnlp-main.157/,2025.emnlp-main.bib
comprehensive_and_efficient_distillation_for_lightweight_sentiment_analysis_models,xie-etal-2025-comprehensive,inproceedings,Comprehensive and Efficient Distillation for Lightweight Sentiment Analysis Models,"Xie, Guangyuand Zhang, Yiceand Bao, Jianzhuand Wang, Qianlong and Sun, Yang and Wang, Bingbingand Xu, Ruifeng",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",22070--22091,https://aclanthology.org/2025.emnlp-main.1122/,2025.emnlp-main.bib
analysing_chain_of_thought_dynamics_active_guidance_or_unfaithful_post_hoc_rationalisation,lewis-lim-etal-2025-analysing,inproceedings,Analysing Chain of Thought Dynamics: Active Guidance or Unfaithful Post-hoc Rationalisation?,"Lewis-Lim, Samuel and Tan, Xingwei and Zhao, Zhixue and Aletras, Nikolaos",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",29838--29853,https://aclanthology.org/2025.emnlp-main.1516/,2025.emnlp-main.bib
a_theory_of_response_sampling_in_llms_part_descriptive_and_prescriptive,sivaprasad-etal-2025-theory,inproceedings,A Theory of Response Sampling in {LLM}s: Part Descriptive and Part Prescriptive,"Sivaprasad, Sarath and Kaushik, Pramodand Abdelnabi, Sahar and Fritz, Mario",2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,Association for Computational Linguistics,"Vienna, Austria",30091--30135,https://aclanthology.org/2025.acl-long.1454/,2025.acl-long.bib
a_systematic_survey_of_automatic_prompt_optimization_techniques,ramnath-etal-2025-systematic,inproceedings,A Systematic Survey of Automatic Prompt Optimization Techniques,"Ramnath, Kiranand Zhou, Kangand Guan, Shengand Mishra, Soumya Smrutiand Qi, Xuan and Shen, Zhengyuanand Wang, Shuaiand Woo, Sangmin and Jeoung, Sullamand Wang, Yaweiand Wang, Haozhu and Ding, Han and Lu, Yuzhe and Xu, Zhichao and Zhou, Yun and Srinivasan, Balasubramaniamand Yan, Qiaojing and Chen, Yueyanand Ding, Haiboand Xu, Panpanand Cheong, Lin Lee",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",33078--33110,https://aclanthology.org/2025.emnlp-main.1681/,2025.emnlp-main.bib
a_few_shot_semantic_parser_for_wizard_of_oz_dialogues,campagna-etal-2022-shot,inproceedings,A Few-Shot Semantic Parser for {W}izard-of-{O}z Dialogues with the Precise {T}hing{T}alk Representation,"Campagna, Giovanni and Semnani, Sinaand Kearns, Ryanand Koba Sato, Lucas Jun and Xu, Silei and Lam, Monica",2022,Findings of the Association for Computational Linguistics: ACL 2022,,Association for Computational Linguistics,"Dublin, Ireland",4021--4034,https://aclanthology.org/2022.findings-acl.317/,2022.findings-acl.bib
tracsum_a_new_benchmark_for_aspect_based_summarization_with_sentence_level_traceability_in_medical_domain,chu-etal-2025-tracsum,inproceedings,{T}rac{S}um: A New Benchmark for Aspect-Based Summarization with Sentence-Level Traceability in Medical Domain,"Chu, Bohao and Li, Meijie and Frihat, Samehand Gu, Chengyuand Lodde, Georg and Livingstone, Elisabeth and Fuhr, Norbert",2025,Proceedings of the 2025 Conference on Empirical Methods in Natural Language Processing,,Association for Computational Linguistics,"Suzhou, China",844--864,https://aclanthology.org/2025.emnlp-main.43/,2025.emnlp-main.bib
